MSSubClass,MSZoning,LotFrontage,LotArea,HouseStyle,OverallQual,OverallCond,SalePrice
60,RL,65,8450,2Story,7,5,208500
20,RL,80,9600,1Story,6,8,181500
60,RL,68,11250,2Story,7,5,223500
70,RL,60,9550,2Story,7,5,140000
60,RL,84,14260,2Story,8,5,250000
50,RL,85,14115,1.5Fin,5,5,143000
20,RL,75,10084,1Story,8,5,307000
60,RL,NA,10382,2Story,7,6,200000
50,RM,51,6120,1.5Fin,7,5,129900
190,RL,50,7420,1.5Unf,5,6,118000
20,RL,70,11200,1Story,5,5,129500
60,RL,85,11924,2Story,9,5,345000
20,RL,NA,12968,1Story,5,6,144000
20,RL,91,10652,1Story,7,5,279500
20,RL,NA,10920,1Story,6,5,157000
45,RM,51,6120,1.5Unf,7,8,132000
20,RL,NA,11241,1Story,6,7,149000
90,RL,72,10791,1Story,4,5,90000
20,RL,66,13695,1Story,5,5,159000
20,RL,70,7560,1Story,5,6,139000
60,RL,101,14215,2Story,8,5,325300
45,RM,57,7449,1.5Unf,7,7,139400
20,RL,75,9742,1Story,8,5,230000
120,RM,44,4224,1Story,5,7,129900
20,RL,NA,8246,1Story,5,8,154000
20,RL,110,14230,1Story,8,5,256300
20,RL,60,7200,1Story,5,7,134800
20,RL,98,11478,1Story,8,5,306000
20,RL,47,16321,1Story,5,6,207500
30,RM,60,6324,1Story,4,6,68500
70,C (all),50,8500,2Story,4,4,40000
20,RL,NA,8544,1Story,5,6,149350
20,RL,85,11049,1Story,8,5,179900
20,RL,70,10552,1Story,5,5,165500
120,RL,60,7313,1Story,9,5,277500
60,RL,108,13418,2Story,8,5,309000
20,RL,112,10859,1Story,5,5,145000
20,RL,74,8532,1Story,5,6,153000
20,RL,68,7922,1Story,5,7,109000
90,RL,65,6040,1Story,4,5,82000
20,RL,84,8658,1Story,6,5,160000
20,RL,115,16905,1Story,5,6,170000
85,RL,NA,9180,SFoyer,5,7,144000
20,RL,NA,9200,1Story,5,6,130250
20,RL,70,7945,1Story,5,6,141000
120,RL,61,7658,1Story,9,5,319900
50,RL,48,12822,1.5Fin,7,5,239686
20,FV,84,11096,1Story,8,5,249700
190,RM,33,4456,2Story,4,5,113000
20,RL,66,7742,1Story,5,7,127000
60,RL,NA,13869,2Story,6,6,177000
50,RM,52,6240,1.5Fin,6,6,114500
90,RM,110,8472,1Story,5,5,110000
20,RL,68,50271,1Story,9,5,385000
80,RL,60,7134,SLvl,5,5,130000
20,RL,100,10175,1Story,6,5,180500
160,FV,24,2645,2Story,8,5,172500
60,RL,89,11645,2Story,7,5,196500
60,RL,66,13682,2Story,10,5,438780
20,RL,60,7200,1Story,5,7,124900
20,RL,63,13072,1Story,6,5,158000
75,RM,60,7200,2.5Unf,5,7,101000
120,RL,44,6442,1Story,8,5,202500
70,RM,50,10300,2Story,7,6,140000
60,RL,NA,9375,2Story,7,5,219500
60,RL,76,9591,2Story,8,5,317000
20,RL,NA,19900,1Story,7,5,180000
20,RL,72,10665,1Story,7,5,226000
30,RM,47,4608,1Story,4,6,80000
50,RL,81,15593,1.5Fin,7,4,225000
20,RL,95,13651,1Story,7,6,244000
20,RL,69,7599,1Story,4,6,129500
60,RL,74,10141,2Story,7,5,185000
20,RL,85,10200,1Story,5,7,144900
50,RM,60,5790,2Story,3,6,107400
180,RM,21,1596,SLvl,4,5,91000
20,RL,NA,8475,1Story,4,7,135750
50,RM,50,8635,1.5Fin,5,5,127000
90,RL,72,10778,1Story,4,5,136500
50,RM,60,10440,2Story,5,6,110000
60,RL,100,13000,2Story,6,6,193500
120,RM,32,4500,1Story,6,5,153500
20,RL,78,10206,1Story,8,5,245000
20,RL,80,8892,1Story,5,5,126500
80,RL,NA,8530,SLvl,7,5,168500
60,RL,121,16059,2Story,8,5,260000
60,RL,122,11911,2Story,6,5,174000
160,FV,40,3951,2Story,6,5,164500
50,C (all),105,8470,1.5Fin,3,2,85000
20,RL,60,8070,1Story,4,5,123600
20,RL,60,7200,1Story,4,5,109900
20,RL,85,8500,1Story,5,3,98600
30,RL,80,13360,1Story,5,7,163500
190,C (all),60,7200,2.5Unf,6,6,133900
60,RL,69,9337,2Story,6,5,204750
60,RL,NA,9765,2Story,6,8,185000
20,RL,78,10264,1Story,7,5,214000
20,RL,73,10921,1Story,4,5,94750
30,RL,85,10625,1Story,5,5,83000
20,RL,77,9320,1Story,4,5,128950
20,RL,NA,10603,1Story,6,7,205000
60,RL,77,9206,2Story,6,5,178000
90,RL,64,7018,1Story,5,5,118964
20,RL,94,10402,1Story,7,5,198900
50,RM,NA,7758,1.5Fin,7,4,169500
60,FV,75,9375,2Story,8,5,250000
30,RM,60,10800,1Story,4,7,100000
20,RM,50,6000,1Story,5,5,115000
50,RM,85,8500,1.5Fin,5,7,115000
20,RL,105,11751,1Story,6,6,190000
50,RL,75,9525,1.5Fin,6,4,136900
80,RL,NA,7750,SLvl,7,5,180000
60,RL,77,9965,2Story,7,5,383970
20,RL,NA,21000,1Story,6,5,217000
70,RL,61,7259,2Story,6,8,259500
160,FV,34,3230,2Story,6,5,176000
20,RL,NA,11616,1Story,5,5,139000
20,RL,74,8536,1Story,5,5,155000
60,RL,90,12376,2Story,7,5,320000
60,RL,65,8461,2Story,6,5,163990
80,RL,NA,21453,SLvl,6,5,180000
50,RM,50,6060,1.5Fin,4,5,100000
20,RL,75,9464,1Story,6,7,136000
120,RL,55,7892,1Story,6,5,153900
20,RL,48,17043,1Story,6,5,181000
190,RM,60,6780,1.5Fin,6,8,84500
120,RL,NA,4928,1Story,6,5,128000
45,RM,55,4388,1.5Unf,5,7,87000
60,RL,69,7590,2Story,6,5,155000
20,RL,69,8973,1Story,5,7,150000
60,RL,88,14200,2Story,7,6,226000
60,RL,NA,12224,2Story,6,5,244000
20,RL,75,7388,1Story,5,6,150750
20,RL,NA,6853,1Story,8,5,220000
